titulo, link, fecha
El cáncer de mama en México - Universidad Insurgentes,https://www.universidadinsurgentes.edu.mx/blog/cancer-de-mama-en-mexico,13 oct. 2017 —
,https://www.cdc.gov/spanish/cancer/breast/basic_info/symptoms.htm,nan
,https://www.universidadinsurgentes.edu.mx/blog/cancer-de-mama-en-mexico,nan
,https://www.mayoclinic.org/es-es/healthy-lifestyle/womens-health/in-depth/breast-cancer-prevention/art-20044676,nan
,https://www.aecc.es/es/todo-sobre-cancer/que-es-cancer/diagnostico-cancer,nan
Los 6 hábitos estratégicos para reducir el riesgo de cáncer de ...,https://www.forbes.com.mx/brand-voice/los-6-habitos-estrategicos-para-reducir-el-riesgo-de-cancer-de-mama/,12 oct. 2017 —
Detecta a tiempo el cáncer de mama | Secretaría de Salud ...,https://www.gob.mx/salud/articulos/deteccion-oportuna?idiom=es,18 oct. 2017 —
Día Mundial de la Lucha contra el Cáncer de Mama | Instituto ...,https://www.gob.mx/issste/articulos/dia-mundial-de-la-lucha-contra-el-cancer-de-mama-131191?idiom=es,19 oct. 2017 —
Día Mundial de la Lucha contra el Cáncer de Mama | Consejo ...,https://www.gob.mx/conadis/articulos/dia-mundial-de-la-lucha-contra-el-cancer-de-mama-131173?idiom=es,19 oct. 2017 —
Mes de la lucha contra el cáncer de mama | Instituto Mexicano ...,https://www.gob.mx/impi/articulos/mes-de-la-lucha-contra-el-cancer-de-mama,19 oct. 2017 —
Día Mundial contra el Cáncer de Mama | Secretaría de ...,https://www.gob.mx/sep/es/articulos/dia-mundial-contra-el-cancer-de-mama,19 oct. 2017 —
Octubre mes de la lucha contra el cáncer de mama | Instituto ...,https://www.gob.mx/impi/articulos/octubre-mes-de-la-lucha-contra-el-cancer-de-mama-132008,26 oct. 2017 —
Lo que debes saber del cáncer de mama - Crédito Real,https://www.creditoreal.com.mx/educacionfinanciera/lo-que-debes-saber-del-cancer-de-mama,2 feb. 2017 —
Cáncer de mama | Secretaria de Salud de Nuevo León,http://saludnl.gob.mx/drupal/c%C3%A1ncer-de-mama,14 dic. 2017 —
Octubre mes de la lucha contra el cáncer de mama | Instituto ...,https://www.gob.mx/impi/articulos/octubre-mes-de-la-lucha-contra-el-cancer-de-mama-131904,25 oct. 2017 —
Día Mundial contra el Cáncer de Mama | Secretaría de ...,https://www.gob.mx/sep/articulos/dia-mundial-contra-el-cancer-de-mama,19 oct. 2017 —
Detecta a tiempo el cáncer de mama | Instituto de Seguridad y ...,https://www.gob.mx/issste/articulos/detecta-a-tiempo-el-cancer-de-mama?idiom=es,11 oct. 2017 —
Prevención del cáncer de mama | Comisión Federal para la ...,https://www.gob.mx/cofepris/articulos/octubre-mes-de-la-sensibilizacion-del-cancer-de-mama,5 oct. 2017 —
Octubre mes de la lucha contra el cáncer de mama | Instituto ...,https://www.gob.mx/impi/articulos/octubre-mes-de-la-lucha-contra-el-cancer-de-mama-131679,24 oct. 2017 —
Octubre mes de la lucha contra el cáncer de mama | Instituto ...,https://www.gob.mx/impi/articulos/octubre-mes-de-la-lucha-contra-el-cancer-de-mama-131359,20 oct. 2017 —
La autoexploración previene cáncer de mama | Chihuahua ...,http://www.chihuahua.gob.mx/contenidos/la-autoexploracion-previene-cancer-de-mama,11 jun. 2017 —
ALGORITMOS DE ATENCIÓN CLÍNICA - EDUCADS,http://educads.salud.gob.mx/sitio/recursos/CANCER_MAMA.pdf,15 dic. 2017 —
¡Cuídate y quiérete! Conoce lo que debes saber para prevenir ...,https://guadalajara.gob.mx/noticias/cuidate-quierete-conoce-lo-debes-saber-prevenir-cancer-mama,18 oct. 2017 —
Avances tecnológicos para combatir el cáncer de mama,http://blog.alestra.com.mx/avances-tecnol%C3%B3gicos-para-combatir-el-c%C3%A1ncer-de-mama,31 oct. 2017 —
El IMSS inaugura su segunda clínica para la prevención del ...,http://www.imss.gob.mx/prensa/archivo/201710/326,20 oct. 2017 —
Vence Cáncer de Mama Durante Embarazo y Salvan la Vida ...,http://www.imss.gob.mx/prensa/archivo/201702/030,4 feb. 2017 —
Conociendo un poco acerca del cáncer de mama,https://hospitalgalenia.com/conociendo-un-poco-acerca-del-cancer-de-mama/,11 dic. 2017 —
Atiende Seguro Popular cáncer de mama de manera gratuita ...,http://chihuahua.gob.mx/atiende-seguro-popular-cancer-de-mama-de-manera-gratuita-para-miles-de-mujeres-mexicanas,20 oct. 2017 —
Presentan libro para fomentar la prevención del cáncer de ...,https://www.zacatecas.gob.mx/presentan-libro-para-fomentar-la-prevencion-del-cancer-de-mama/,7 oct. 2017 —
Octubre se pinta de rosa en la lucha contra el cáncer de ...,https://codigof.mx/octubre-se-pinta-de-rosa-en-la-lucha-contra-el-cancer-de-mama/,7 nov. 2017 —
Mastografía oportuna| el método más eficaz para detectar el ...,http://fundacioncentrohistorico.com.mx/mastografia-oportuna-el-metodo-mas-eficaz-para-detectar-el-cancer-de-mama/,25 jul. 2017 —
Equipo integral de fisioterapia para mujeres con amputación ...,https://contexto.udlap.mx/equipo-integral-de-fisioterapia-para-mujeres-con-amputacion-por-cancer-de-mama/,7 feb. 2017 —
CONVERSATORIO: PREVENCIÓN OPORTUNA DEL ...,http://www.teever.gob.mx/conversatorio--prevencion-oportuna-del-cancer-de-mama-y-factores-de-riesgo.html,25 oct. 2017 —
Baja tu riesgo de desarrollar cáncer de mama | Secretaría de ...,https://www.gob.mx/salud/articulos/baja-tu-riesgo-de-desarrollar-cancer-de-mama,19 oct. 2017 —
Cáncer de la Mujer,https://www.gob.mx/cms/uploads/attachment/file/248801/CancerdelaMujer.pdf,17 ago. 2017 —
