Entidad Federativa,Año,Producto Interno Bruto                       (Miles de pesos),"Gasto Total en Salud
(I.1 + I.2)","I.1 Gasto Público Total en Salud
(Miles de pesos)
(1 + 2)","1. Gasto Total 
(A+B+C+D+E+F) con SS","A. Advo. Secretaria de Salud
(Ramo 12)",B. FASSA (Ramo 33),"C. IMSS 
Prospera","D. SEDENA
(Ramo 7)","E. SEMAR
(Ramo 13)","F. Gasto 
Estatal","2. Gasto Total
(A+B+C+D+E) sin SS",A. IMSS,B. ISSSTE,C. PEMEX,D. ISSFAM,E. ISSES,"I.2 Gasto Privado Total en Salud
(Miles de pesos constantes)
(A + B + C)",A. Gasto de los Hogares e ISFL,B. Cuotas de Recuperación,C. Pago de Primas,Gasto  público total en salud como % del PIB,Gasto total en salud como % del PIB,Gasto público total en salud como % del gasto total en salud,Gasto público total en salud como % del gasto público total,Gasto público en salud per cápita para población con seguridad social,Gasto público en salud per cápita para población sin seguridad social ,Gasto público en salud per cápita total,Aportación federal al financiamiento de la salud de la población sin seguridad social (%),Gasto privado en salud per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,1993,122956822.66,n.d.,2902330.75,799492.88,799492.88,n.d.,n.d.,n.d.,n.d.,n.d.,2102837.87,1932517.32,61240.07,109080.48,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.4,n.d.,n.d.,n.d.,n.d.,n.d.,1279.26,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,1993,529173538.89,n.d.,12737515.38,1021362.16,1021362.16,n.d.,n.d.,n.d.,n.d.,n.d.,11716153.21,11506007.76,162983.47,47161.98,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.4,n.d.,n.d.,n.d.,n.d.,n.d.,2110.06,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,1993,837368144.84,n.d.,13919473.25,2523895.84,2523895.84,n.d.,n.d.,n.d.,n.d.,n.d.,11395577.41,11276277.22,98183.74,21116.45,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.7,n.d.,n.d.,n.d.,n.d.,n.d.,1264.88,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,1993,188554142.03,n.d.,4276748.15,1185017.78,1185017.78,n.d.,n.d.,n.d.,n.d.,n.d.,3091730.37,2960441.81,131288.56,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.3,n.d.,n.d.,n.d.,n.d.,n.d.,1049.44,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,1993,120900827.09,n.d.,2539988.99,418495.71,418495.71,n.d.,n.d.,n.d.,n.d.,n.d.,2121493.27,2043822.93,77670.34,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.1,n.d.,n.d.,n.d.,n.d.,n.d.,1726.32,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,1993,53195387.60,n.d.,1947679.37,452497.43,452497.43,n.d.,n.d.,n.d.,n.d.,n.d.,1495181.94,1430514.82,64667.12,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.7,n.d.,n.d.,n.d.,n.d.,n.d.,2204.41,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,1993,517019422.13,n.d.,10792299.15,756760.23,756760.23,n.d.,n.d.,n.d.,n.d.,n.d.,10035538.92,9610629.54,218144.21,206765.17,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.1,n.d.,n.d.,n.d.,n.d.,n.d.,3129.11,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,1993,134254004.14,n.d.,3561055.91,1601337.92,1601337.92,n.d.,n.d.,n.d.,n.d.,n.d.,1959717.99,1696518.98,112624.78,150574.23,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.7,n.d.,n.d.,n.d.,n.d.,n.d.,1026.82,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,1993,262897715.28,n.d.,6066304.73,1101279.97,1101279.97,n.d.,n.d.,n.d.,n.d.,n.d.,4965024.75,4767017.04,90799.19,107208.52,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.3,n.d.,n.d.,n.d.,n.d.,n.d.,1281.36,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro de Arteaga,1993,113235725.07,n.d.,2374239.45,359298.60,359298.60,n.d.,n.d.,n.d.,n.d.,n.d.,2014940.85,1942931.06,72009.78,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.1,n.d.,n.d.,n.d.,n.d.,n.d.,1770.79,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
