Entidad Federativa,Año,Producto Interno Bruto                       (Miles de pesos),"Gasto Total en Salud
(I.1 + I.2)","I.1 Gasto Público Total en Salud
(Miles de pesos)
(1 + 2)","1. Gasto Total 
(A+B+C+D+E+F) con SS","A. Advo. Secretaria de Salud
(Ramo 12)",B. FASSA (Ramo 33),"C. IMSS 
Prospera","D. SEDENA
(Ramo 7)","E. SEMAR
(Ramo 13)","F. Gasto 
Estatal","2. Gasto Total
(A+B+C+D+E) sin SS",A. IMSS,B. ISSSTE,C. PEMEX,D. ISSFAM,E. ISSES,"I.2 Gasto Privado Total en Salud
(Miles de pesos constantes)
(A + B + C)",A. Gasto de los Hogares e ISFL,B. Cuotas de Recuperación,C. Pago de Primas,Gasto  público total en salud como % del PIB,Gasto total en salud como % del PIB,Gasto público total en salud como % del gasto total en salud,Gasto público total en salud como % del gasto público total,Gasto público en salud per cápita para población con seguridad social,Gasto público en salud per cápita para población sin seguridad social ,Gasto público en salud per cápita total,Aportación federal al financiamiento de la salud de la población sin seguridad social (%),Gasto privado en salud per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,1998,588969024.57,n.d.,11410988.51,1110069.60,,1110069.60,n.d.,n.d.,n.d.,n.d.,10300918.91,9495026.98,490907.05,314984.88,n.d.,n.d.,n.d.,n.d.,n.d.,1551821.57,1.9,n.d.,n.d.,24.7,n.d.,n.d.,2997.60,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,1998,127137348.64,n.d.,3466909.41,1482019.05,173189.46,1308829.58,n.d.,n.d.,n.d.,n.d.,1984890.37,1393410.77,363311.22,228168.38,n.d.,n.d.,n.d.,n.d.,n.d.,9110.75,2.7,n.d.,n.d.,9.9,n.d.,n.d.,956.79,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,1998,316056892.64,n.d.,6090287.09,1331083.60,194577.94,1136505.66,n.d.,n.d.,n.d.,n.d.,4759203.49,4314126.04,341209.69,103867.76,n.d.,n.d.,n.d.,n.d.,n.d.,146615.84,1.9,n.d.,n.d.,17.7,n.d.,n.d.,1191.09,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro de Arteaga,1998,152074015.84,n.d.,2529001.69,627462.01,35832.85,591629.16,n.d.,n.d.,n.d.,n.d.,1901539.68,1731550.94,153348.22,16640.52,n.d.,n.d.,n.d.,n.d.,n.d.,102525.12,1.7,n.d.,n.d.,17.1,n.d.,n.d.,1691.18,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,1998,114329766.99,n.d.,1966617.18,515992.66,,515992.66,n.d.,n.d.,n.d.,n.d.,1450624.52,1319526.15,131098.36,,n.d.,n.d.,n.d.,n.d.,n.d.,42296.52,1.7,n.d.,n.d.,18.6,n.d.,n.d.,2280.35,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,1998,150230580.65,n.d.,3280912.42,755188.55,68585.41,686603.14,n.d.,n.d.,n.d.,n.d.,2525723.87,2166029.74,255876.80,103817.33,n.d.,n.d.,n.d.,n.d.,n.d.,41823.65,2.2,n.d.,n.d.,15.1,n.d.,n.d.,1385.71,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,1998,166101281.25,n.d.,5359635.85,883306.00,38086.52,845219.48,n.d.,n.d.,n.d.,n.d.,4476329.85,3943990.65,495004.64,37334.57,n.d.,n.d.,n.d.,n.d.,n.d.,56953.40,3.2,n.d.,n.d.,14.3,n.d.,n.d.,2160.06,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,1998,234312079.39,n.d.,5727778.26,1058176.60,,1058176.60,n.d.,n.d.,n.d.,n.d.,4669601.66,4281107.40,339986.29,48507.96,n.d.,n.d.,n.d.,n.d.,n.d.,427775.52,2.4,n.d.,n.d.,17.7,n.d.,n.d.,2599.33,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,1998,102882415.93,n.d.,3240810.14,921835.09,,921835.09,n.d.,n.d.,n.d.,n.d.,2318975.05,1283484.50,166531.49,868959.06,n.d.,n.d.,n.d.,n.d.,n.d.,19403.70,3.2,n.d.,n.d.,7.1,n.d.,n.d.,1692.69,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,1998,255104353.75,n.d.,6327557.80,1226339.30,,1226339.30,n.d.,n.d.,n.d.,n.d.,5101218.50,3693257.38,519224.71,888736.41,n.d.,n.d.,n.d.,n.d.,n.d.,146160.89,2.5,n.d.,n.d.,13.8,n.d.,n.d.,2368.32,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,1998,44748080.63,n.d.,1346975.84,438642.72,,438642.72,n.d.,n.d.,n.d.,n.d.,908333.12,816636.96,91696.16,,n.d.,n.d.,n.d.,n.d.,n.d.,5611.96,3.0,n.d.,n.d.,16.3,n.d.,n.d.,1384.23,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,1998,364594826.77,n.d.,11078787.64,1766341.04,173813.40,1592527.64,n.d.,n.d.,n.d.,n.d.,9312446.60,7129642.69,516730.91,1666072.99,n.d.,n.d.,n.d.,n.d.,n.d.,54259.49,3.0,n.d.,n.d.,10.5,n.d.,n.d.,1544.33,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,1998,112704069.45,n.d.,4160041.77,786030.13,43372.76,742657.37,n.d.,n.d.,n.d.,n.d.,3374011.64,3063644.01,259439.05,50928.57,n.d.,n.d.,n.d.,n.d.,n.d.,371333.61,3.7,n.d.,n.d.,17.9,n.d.,n.d.,2493.01,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,1998,69478522.11,n.d.,1819203.61,533696.01,34348.27,499347.74,n.d.,n.d.,n.d.,n.d.,1285507.60,1103746.49,172212.80,9548.31,n.d.,n.d.,n.d.,n.d.,n.d.,4343.71,2.6,n.d.,n.d.,13.3,n.d.,n.d.,1275.79,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No distribuible,1998,,n.d.,28741308.99,28741308.99,28741308.99,,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,1999,10013254983.03,591545214.60,267766303.01,82690319.44,30961671.46,39641540.81,n.d.,n.d.,n.d.,12087107.17,185075983.57,155213526.65,22039054.48,7823402.44,n.d.,n.d.,323778911.58,311665194.34,n.d.,12113717.24,2.7,5.9,45.3,17.3,3872.66,1676.46,2685.56,85.4,3247.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,1999,107363400.81,n.d.,2964702.72,796888.58,,606576.41,n.d.,n.d.,n.d.,190312.17,2167814.14,2009422.83,148975.45,9415.86,n.d.,n.d.,n.d.,n.d.,n.d.,47386.33,2.8,n.d.,n.d.,15.0,3579.20,2345.53,2989.04,76.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,1999,323227948.64,n.d.,6661909.84,1001235.51,73320.17,879912.84,n.d.,n.d.,n.d.,48002.50,5660674.34,5244506.77,385849.67,30317.90,n.d.,n.d.,n.d.,n.d.,n.d.,207668.87,2.1,n.d.,n.d.,19.3,3742.96,1264.18,2697.98,95.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,1999,50043202.35,n.d.,2018771.70,479060.82,,460458.45,n.d.,n.d.,n.d.,18602.37,1539710.88,1223066.21,311969.64,4675.02,n.d.,n.d.,n.d.,n.d.,n.d.,8588.45,4.0,n.d.,n.d.,18.9,5224.16,3742.72,4453.11,96.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,1999,106114571.64,n.d.,2203353.17,809609.88,111087.77,600665.08,n.d.,n.d.,n.d.,97857.03,1393743.29,949095.62,154039.26,290608.42,n.d.,n.d.,n.d.,n.d.,n.d.,3512.24,2.1,n.d.,n.d.,7.5,4237.20,2206.45,3205.24,87.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,1999,305805138.14,n.d.,7497866.47,1092256.05,202049.10,791083.94,n.d.,n.d.,n.d.,99123.01,6405610.42,5965848.94,414882.44,24879.04,n.d.,n.d.,n.d.,n.d.,n.d.,148692.60,2.5,n.d.,n.d.,19.6,3572.59,2133.07,3184.58,90.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,1999,51718730.75,n.d.,1849863.69,513043.77,,498838.44,n.d.,n.d.,n.d.,14205.34,1336819.91,1173430.83,149906.66,13482.42,n.d.,n.d.,n.d.,n.d.,n.d.,11080.10,3.6,n.d.,n.d.,13.3,4287.00,2485.54,3399.55,97.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,1999,149720209.23,n.d.,5320389.08,3110073.92,1186089.26,1865985.84,n.d.,n.d.,n.d.,57998.82,2210315.17,1760019.85,372831.44,77463.88,n.d.,n.d.,n.d.,n.d.,n.d.,12640.84,3.6,n.d.,n.d.,10.6,2410.83,1025.41,1302.93,98.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,1999,402787604.89,n.d.,8333528.75,1897302.95,400727.71,1049992.13,n.d.,n.d.,n.d.,446583.11,6436225.80,5932226.79,430934.25,73064.75,n.d.,n.d.,n.d.,n.d.,n.d.,474978.81,2.1,n.d.,n.d.,22.4,3312.73,1790.16,2847.12,76.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,1999,2056985795.47,n.d.,60772356.64,7037128.85,397403.85,2525483.14,n.d.,n.d.,n.d.,4114241.86,53735227.79,39081988.11,12748515.36,1904724.32,n.d.,n.d.,n.d.,n.d.,n.d.,6330867.74,3.0,n.d.,n.d.,13.2,9676.69,2267.77,6806.81,41.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,1999,114148495.40,n.d.,3728209.37,1197195.84,346159.93,841908.35,n.d.,n.d.,n.d.,9127.56,2531013.53,2191940.67,315713.89,23358.98,n.d.,n.d.,n.d.,n.d.,n.d.,20455.70,3.3,n.d.,n.d.,17.8,3012.19,1931.92,2505.00,99.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,1999,316360668.51,n.d.,7560397.46,1794299.99,27786.87,1469361.09,n.d.,n.d.,n.d.,297152.03,5766097.47,5018931.53,327691.72,419474.22,n.d.,n.d.,n.d.,n.d.,n.d.,116979.21,2.4,n.d.,n.d.,18.7,2927.28,655.38,1478.36,83.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,1999,158298350.65,n.d.,4759081.01,2236543.19,104760.19,2053619.57,n.d.,n.d.,n.d.,78163.43,2522537.82,2048595.21,465021.46,8921.16,n.d.,n.d.,n.d.,n.d.,n.d.,13554.51,3.0,n.d.,n.d.,12.8,2918.98,995.61,1479.87,96.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,1999,124493743.52,n.d.,4005454.80,1835115.29,667218.75,1108159.45,n.d.,n.d.,n.d.,59737.09,2170339.50,1721740.99,238639.45,209959.07,n.d.,n.d.,n.d.,n.d.,n.d.,19343.28,3.2,n.d.,n.d.,12.3,2688.98,1264.45,1686.52,96.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,1999,595516296.83,n.d.,15828615.82,4285821.45,20743.83,2478123.81,n.d.,n.d.,n.d.,1786953.81,11542794.37,11325528.56,167645.24,49620.56,n.d.,n.d.,n.d.,n.d.,n.d.,742862.09,2.7,n.d.,n.d.,29.1,3403.82,1456.65,2453.22,58.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,1999,928906049.33,n.d.,17276912.22,5013258.61,84749.26,4752264.62,n.d.,n.d.,n.d.,176244.74,12263653.61,11773802.80,428114.68,61736.13,n.d.,n.d.,n.d.,n.d.,n.d.,636011.37,1.9,n.d.,n.d.,20.5,1920.53,803.94,1362.64,96.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,1999,221269852.93,n.d.,5730308.19,2062389.44,553501.23,1453689.79,n.d.,n.d.,n.d.,55198.42,3667918.75,3112982.23,530432.97,24503.55,n.d.,n.d.,n.d.,n.d.,n.d.,51894.22,2.6,n.d.,n.d.,15.8,2748.00,764.46,1377.92,97.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,1999,125995978.83,n.d.,3509479.54,926115.66,,746980.26,n.d.,n.d.,n.d.,179135.40,2583363.88,2196626.37,371988.71,14748.81,n.d.,n.d.,n.d.,n.d.,n.d.,58447.23,2.8,n.d.,n.d.,18.7,3728.21,1117.52,2224.39,80.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,1999,51632437.25,n.d.,2335467.03,741750.63,159241.01,575826.57,n.d.,n.d.,n.d.,6683.04,1593716.40,1374342.13,215523.02,3851.25,n.d.,n.d.,n.d.,n.d.,n.d.,6471.94,4.5,n.d.,n.d.,19.5,3406.45,1604.43,2511.02,99.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,1999,624912658.55,n.d.,12322790.34,1397716.21,,1240793.25,n.d.,n.d.,n.d.,156922.96,10925074.13,10297846.73,312679.87,314547.53,n.d.,n.d.,n.d.,n.d.,n.d.,1935878.28,2.0,n.d.,n.d.,25.1,3902.74,1365.52,3178.52,88.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,1999,136788433.33,n.d.,4738119.76,2693036.70,1132314.75,1521962.05,n.d.,n.d.,n.d.,38759.90,2045083.06,1608776.85,218559.65,217746.56,n.d.,n.d.,n.d.,n.d.,n.d.,9527.79,3.5,n.d.,n.d.,11.7,2061.10,1075.86,1296.36,98.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,1999,355823304.75,n.d.,7576352.14,2489574.17,903766.52,1324715.90,n.d.,n.d.,n.d.,261091.76,5086777.96,4819093.10,148962.15,118722.71,n.d.,n.d.,n.d.,n.d.,n.d.,257336.09,2.1,n.d.,n.d.,18.2,3083.11,744.99,1460.22,89.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro de Arteaga,1999,159661464.19,n.d.,2843304.95,790999.28,36980.88,713822.30,n.d.,n.d.,n.d.,40196.10,2052305.67,1865550.64,170733.30,16021.73,n.d.,n.d.,n.d.,n.d.,n.d.,118549.69,1.8,n.d.,n.d.,14.9,2722.14,1219.64,1862.00,94.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,1999,124000715.30,n.d.,2510526.45,755493.48,,652778.97,n.d.,n.d.,n.d.,102714.51,1755032.97,1583329.01,171703.96,,n.d.,n.d.,n.d.,n.d.,n.d.,37656.33,2.0,n.d.,n.d.,22.1,3666.05,1983.20,2787.06,86.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,1999,155973227.01,n.d.,4283128.39,1368112.79,459819.70,796466.36,n.d.,n.d.,n.d.,111826.72,2915015.60,2525252.57,276955.80,112807.23,n.d.,n.d.,n.d.,n.d.,n.d.,65394.31,2.7,n.d.,n.d.,17.6,2831.16,1058.70,1800.97,91.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,1999,172574600.58,n.d.,6063705.93,1455448.85,249220.58,938821.55,n.d.,n.d.,n.d.,267406.72,4608257.09,4241673.03,322873.30,43710.75,n.d.,n.d.,n.d.,n.d.,n.d.,64048.27,3.5,n.d.,n.d.,17.7,2806.13,1573.48,2417.63,81.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,1999,243247971.96,n.d.,7006667.73,1914943.20,,1183588.30,n.d.,n.d.,n.d.,731354.90,5091724.53,4655780.73,384309.34,51634.45,n.d.,n.d.,n.d.,n.d.,n.d.,346311.72,2.9,n.d.,n.d.,20.7,3414.63,2598.62,3117.08,61.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,1999,111576950.27,n.d.,5642119.70,2630498.39,88457.54,1134427.14,n.d.,n.d.,n.d.,1407613.71,3011621.30,1765996.56,268046.62,977578.12,n.d.,n.d.,n.d.,n.d.,n.d.,20240.56,5.1,n.d.,n.d.,14.8,4086.06,2242.50,2899.09,46.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,1999,279036930.88,n.d.,7583297.74,1931738.96,186515.53,1456308.86,n.d.,n.d.,n.d.,288914.56,5651558.79,4087229.51,580864.67,983464.61,n.d.,n.d.,n.d.,n.d.,n.d.,144666.79,2.7,n.d.,n.d.,15.7,3390.23,1768.65,2778.25,85.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,1999,47988213.09,n.d.,1698330.62,538734.82,,512778.51,n.d.,n.d.,n.d.,25956.31,1159595.80,1044909.58,113347.91,1338.30,n.d.,n.d.,n.d.,n.d.,n.d.,9117.05,3.5,n.d.,n.d.,18.9,3063.31,914.84,1709.06,95.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,1999,376009067.79,n.d.,14373058.40,4002481.87,1239714.71,1959926.05,n.d.,n.d.,n.d.,802841.10,10370576.53,8026767.40,638979.68,1704829.45,n.d.,n.d.,n.d.,n.d.,n.d.,56287.55,3.8,n.d.,n.d.,13.4,3798.71,942.79,1993.74,79.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,1999,123676196.63,n.d.,4713600.61,1259771.34,327825.75,865447.77,n.d.,n.d.,n.d.,66497.82,3453829.26,3378090.95,46528.14,29210.17,n.d.,n.d.,n.d.,n.d.,n.d.,127350.12,3.8,n.d.,n.d.,19.2,3835.79,1646.22,2779.90,94.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,1999,66071369.29,n.d.,2417002.50,995048.69,364586.30,580774.01,n.d.,n.d.,n.d.,49688.38,1421953.82,1209133.55,205834.75,6985.51,n.d.,n.d.,n.d.,n.d.,n.d.,9917.16,3.7,n.d.,n.d.,15.2,2695.76,1178.69,1702.37,95.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No distribuible,1999,,n.d.,21637630.27,21637630.27,21637630.27,,n.d.,n.d.,n.d.,,,,,,,,,,,0.00,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,2000,10983890601.30,650346414.60,284322990.43,92221099.75,32524104.49,45666769.87,n.d.,n.d.,n.d.,14030225.39,192101890.68,158199096.05,25106991.01,8795803.61,n.d.,n.d.,366023424.17,350781131.24,n.d.,15242292.93,2.6,5.9,43.7,16.6,3884.49,1792.72,2817.98,84.8,3627.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,2000,123363527.39,n.d.,3028818.49,1059039.52,6816.29,691829.84,n.d.,n.d.,n.d.,360393.39,1969778.97,1791865.29,167010.80,10902.87,n.d.,n.d.,n.d.,n.d.,n.d.,49754.01,2.5,n.d.,n.d.,12.8,3052.95,2915.51,3003.45,66.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,2000,361774863.46,n.d.,7325540.79,1142409.28,58962.54,1035444.66,n.d.,n.d.,n.d.,48002.07,6183131.51,5730922.81,418176.84,34031.87,n.d.,n.d.,n.d.,n.d.,n.d.,225017.87,2.0,n.d.,n.d.,17.6,3720.76,1286.42,2872.94,95.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,2000,53924478.08,n.d.,2110065.10,548082.52,6526.28,519422.41,n.d.,n.d.,n.d.,22133.83,1561982.58,1237631.99,317848.31,6502.28,n.d.,n.d.,n.d.,n.d.,n.d.,5631.66,3.9,n.d.,n.d.,17.3,4842.07,3809.58,4523.62,96.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,2000,119119714.33,n.d.,2428181.38,984654.51,149975.07,697430.08,n.d.,n.d.,n.d.,137249.36,1443526.87,928988.47,161987.19,352551.21,n.d.,n.d.,n.d.,n.d.,n.d.,1734.41,2.0,n.d.,n.d.,7.0,4392.01,2646.65,3465.33,86.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,2000,311362934.90,n.d.,7799420.03,1234103.23,230397.94,894638.59,n.d.,n.d.,n.d.,109066.70,6565316.80,6025755.93,468071.39,71489.48,n.d.,n.d.,n.d.,n.d.,n.d.,173783.72,2.5,n.d.,n.d.,19.8,3534.59,2301.10,3258.24,91.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,2000,54497854.81,n.d.,2001071.90,726407.91,9504.41,701830.27,n.d.,n.d.,n.d.,15073.23,1274663.98,1025511.24,164785.91,84366.84,n.d.,n.d.,n.d.,n.d.,n.d.,9134.83,3.7,n.d.,n.d.,10.6,3934.93,3209.16,3636.40,97.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,2000,162396709.12,n.d.,6006452.25,3672585.58,1303824.54,2275098.14,n.d.,n.d.,n.d.,93662.90,2333866.67,1863698.59,447107.89,23060.19,n.d.,n.d.,n.d.,n.d.,n.d.,5742.51,3.7,n.d.,n.d.,11.0,2375.52,1154.03,1442.18,97.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,2000,457118776.20,n.d.,9255077.57,2177615.47,395524.60,1222452.73,n.d.,n.d.,n.d.,559638.14,7077462.09,6548925.49,511814.48,16722.12,n.d.,n.d.,n.d.,n.d.,n.d.,549205.51,2.0,n.d.,n.d.,20.8,3619.86,2108.57,3097.49,74.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,2000,2243808424.55,n.d.,85875056.33,29489375.09,22260445.06,2676515.45,n.d.,n.d.,n.d.,4552414.57,56385681.24,41566101.39,12630011.61,2189568.25,n.d.,n.d.,n.d.,n.d.,n.d.,8741838.45,3.8,n.d.,n.d.,18.7,10033.75,8868.08,9600.41,84.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,2000,119854086.01,n.d.,4016554.86,1452948.67,487559.43,950441.00,n.d.,n.d.,n.d.,14948.24,2563606.18,2166228.84,368124.28,29253.06,n.d.,n.d.,n.d.,n.d.,n.d.,11942.20,3.4,n.d.,n.d.,16.6,2986.71,2272.82,2681.98,99.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,2000,341739159.20,n.d.,8274034.05,2262307.93,121459.18,1745675.30,n.d.,n.d.,n.d.,395173.45,6011726.12,5067861.41,515631.44,428233.27,n.d.,n.d.,n.d.,n.d.,n.d.,124579.97,2.4,n.d.,n.d.,18.0,2821.14,750.89,1608.55,82.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,2000,171360939.80,n.d.,5270179.87,2781127.31,281544.74,2465506.35,n.d.,n.d.,n.d.,34076.21,2489052.57,1938642.82,541151.14,9258.60,n.d.,n.d.,n.d.,n.d.,n.d.,13396.92,3.1,n.d.,n.d.,11.3,2820.88,1186.47,1633.47,98.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,2000,129942825.19,n.d.,4153347.88,1975749.95,634883.51,1260454.37,n.d.,n.d.,n.d.,80412.07,2177597.93,1705430.57,275947.50,196219.86,n.d.,n.d.,n.d.,n.d.,n.d.,12347.81,3.2,n.d.,n.d.,11.5,2498.07,1301.06,1737.59,95.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,2000,642441350.24,n.d.,17036184.77,5027860.78,70154.37,2961727.76,n.d.,n.d.,n.d.,1995978.66,12008323.99,11307711.97,622971.27,77640.75,n.d.,n.d.,n.d.,n.d.,n.d.,858396.77,2.7,n.d.,n.d.,28.0,3446.51,1659.75,2615.53,60.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,2000,1006269670.28,n.d.,18095585.05,5844788.40,244134.07,5393232.64,n.d.,n.d.,n.d.,207421.69,12250796.65,11753423.79,448789.76,48583.10,n.d.,n.d.,n.d.,n.d.,n.d.,442043.33,1.8,n.d.,n.d.,19.7,1865.68,918.04,1399.18,96.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,2000,221873686.71,n.d.,6253745.96,2438339.98,711644.00,1626270.15,n.d.,n.d.,n.d.,100425.83,3815405.98,3155016.69,634373.16,26016.12,n.d.,n.d.,n.d.,n.d.,n.d.,38916.18,2.8,n.d.,n.d.,14.6,2787.20,872.90,1502.48,95.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,2000,133028440.29,n.d.,3461156.10,1056781.59,28011.21,841636.30,n.d.,n.d.,n.d.,187134.07,2404374.51,1968543.71,422024.20,13806.60,n.d.,n.d.,n.d.,n.d.,n.d.,70053.16,2.6,n.d.,n.d.,17.3,3385.63,1198.31,2173.99,82.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,2000,52760381.86,n.d.,2550900.40,894138.33,187570.81,676629.19,n.d.,n.d.,n.d.,29938.33,1656762.07,1414832.83,236077.18,5852.05,n.d.,n.d.,n.d.,n.d.,n.d.,7007.20,4.8,n.d.,n.d.,19.1,3509.35,1924.68,2723.40,96.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,2000,705879072.68,n.d.,12651237.58,1744040.89,29953.29,1373259.24,n.d.,n.d.,n.d.,340828.36,10907196.69,10030753.28,564251.94,312191.47,n.d.,n.d.,n.d.,n.d.,n.d.,2497902.53,1.8,n.d.,n.d.,21.3,3745.04,1680.81,3202.80,80.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,2000,147763109.89,n.d.,5215169.96,3014565.84,1196465.57,1778076.70,n.d.,n.d.,n.d.,40023.57,2200604.12,1475657.65,495505.77,229440.70,n.d.,n.d.,n.d.,n.d.,n.d.,5318.49,3.5,n.d.,n.d.,12.1,2097.83,1149.53,1420.48,98.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
